Designator,Manufacturer Part Number,Quantity,Link
"J1,J2,J3,J4",2716,4,https://www.digikey.com/product-detail/en/2716/1528-1362-ND
J5,992,1,https://www.digikey.com/product-detail/en/992/1528-1172-ND
J6,GPS-13740,1,https://www.digikey.com/product-detail/en/GPS-13740/GPS-13740-ND
J7,SEN-13944,1,https://www.digikey.com/product-detail/en/SEN-13944/1568-1424-ND
"J8,J9,J10,J11,J12,J13,J14,J15",BBBWL-SC-562,1,https://www.digikey.com/product-detail/en/BBBWL-SC-562/BBBWL-SC-562-ND
,VEL05US050-US-UB,1,https://www.digikey.com/product-detail/en/VEL05US050-US-UB/1470-2770-ND
,1959,1,https://www.adafruit.com/product/1959
,1294,1,https://www.adafruit.com/product/1294
