Designator,Manufacturer Part Number,Quantity,Link
"J1,J2,J3,J4,J5",P125-1106A1BS116A1,5,https://statics3.seeedstudio.com/images/opl/datasheet/3460650P1.pdf
J6,S3B-PH-K-S(LF)(SN),1,http://file.elecfans.com/web1/M00/56/28/pIYBAFs5_uCAdW0LAAHQrBga-SA964.pdf
J7,P125-1104A0BS116A1,1,https://statics3.seeedstudio.com/images/opl/datasheet/320020017.pdf
"J8,J9,J10",P125-1102A0BS116A1,3,https://statics3.seeedstudio.com/images/opl/datasheet/320020016.pdf
"J11,J12,J13,J14,J15",P125-12A1BS116A1,5,https://statics3.seeedstudio.com/images/opl/datasheet/3460180P1.pdf
